id_firma,cui,anaf_name,scor,metoda
447,18532337,REC IMMPULS SRL,100,search
448,,,,
449,17019695,RECORDATI ROMÂNIA SRL,100,search
450,,,,
451,,,,
452,,,,
453,15584218,ROADHILL AUTOMOTIVE SRL,100,search
454,5541546,ROBERT BOSCH SRL,100,search
455,,,,
456,17551047,ROCHE ROMANIA SRL,100,search
457,22680005,ROCK STAR CONSTRUCT SRL,100,search
458,10863700,ROCKWOOL ROMANIA SRL,100,search
459,17723673,RODBUN GRUP S.A.,100,search
460,,,,
461,22725808,ROGALSKI DAMASCHIN PUBLIC RELATIONS SRL,100,search
462,6502278,ROHDE & SCHWARZ TOPEX SA,100,search
463,5462280,ROM ENERGY ARMSTRONG SRL,100,search
464,,,,
465,,,,
466,6769462,ROMASTRU TRADING SRL,100,search
467,13468314,ROMCONSULTING INTERNATIONAL SRL,100,search
468,,,,
469,,,,
470,,,,
471,,,,
472,,,,
473,,,,
474,,,,
475,,,,
476,,,,
477,,,,
478,,,,
479,,,,
480,,,,
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,,,,
504,,,,
505,,,,
506,,,,
507,,,,
508,,,,
509,,,,
510,,,,
511,,,,
512,,,,
513,10239863,SIIP ROMANIA SRL,99.65217391304348,search
514,14756951,SIMARTIS TELECOM SRL,100,search
515,15186239,SINDAN - PHARMA SRL,100,search
516,24764358,SIRANI GRUP SRL,88.21052631578947,search
517,,,,
518,28867615,SKANSKA CONSTRUCTION ROMANIA SRL,100,search
519,24624699,SKYLUX CONSTRUCTION SRL,100,search
520,18643548,SMART ELECTRO-DISTRIBUTION SRL,100,search
521,27043917,SMART ID DYNAMICS SA,100,search
522,18738800,SMART POINT SRL,100,search
523,,,,
524,13991177,SMARTECH CONSULT SRL,100,search
525,,,,
526,,,,
527,,,,
528,,,,
529,,,,
530,6719715,SOF MEDICA S.A.,100,search
531,19333723,SOFTELLIGENCE SRL,100,search
532,36297310,SOLARIS BUS & COACH ROMANIA SRL,100,search
533,22424341,SOMACO GRUP PREFABRICATE SRL,100,search
534,15764367,SOMACO HOLDING SA,100,search
535,,,,
536,,,,
537,37586457,SPHERA FRANCHISE GROUP S.A.,100,search
538,,,,
539,,,,
540,,,,
541,,,,
542,18059620,STARKEY LABORATORIES SRL,100,search
543,12750898,STEELMET ROMANIA SA,100,search
544,6891914,STRABAG SRL,100,search
545,,,,
546,9911870,STREAM NETWORKS SRL,100,search
547,1555530,STUDIO 10M ZERVA CROITORU MEDVEDOVICI ARHITECTI ASOCIATI SRL,100,search
548,21104080,STUDIO ART CONSTRUCT SRL,100,search
549,13683142,SUNMEDAIR TRAVEL & TOURISM SERVICES SRL,100,search
550,,,,
551,13886414,SYNERGY CONSTRUCT SRL,100,search
552,6479639,SYNEVO ROMANIA SRL,100,search
553,6476683,SYNOTECH GLOBAL SERVICES ROMANIA SRL,100,search
554,,,,
555,25946293,SYSCOM DIGITAL SRL,100,search
556,18138597,TAKEDA PHARMACEUTICALS SRL,100,search
557,16066125,TARSAGO ROMANIA SRL,100,search
558,18180117,TCE AGROSUIND S.R.L.,100,search
559,14147924,TCHIBO BRANDS SRL,100,search
560,13904073,TEAMNET INTERNATIONAL SA,100,search
561,6149258,TECHNOELECTRIC SRL,100,search
562,16939467,TECHTEX SRL,100,search
563,25263452,TECHVENTURES BANK S.A.,100,search
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,28464035,UPONOR ROMANIA SRL,100,search
610,,,,
611,12695122,UTI GRUP SA,100,search
612,10688099,UZINSIDER GENERAL CONTRACTOR SA,100,search
613,,,,
614,23100700,VALDOMEDICA TRADING SRL,100,search
615,,,,
616,37338915,VALORIA BUSINESS SOLUTIONS SRL,100,search
617,10077508,VALTEC PREMIUM LUBRICANTS SRL,100,search
618,,,,
619,,,,
620,6597308,VECTRA EUROLIFT SERVICE SRL,100,search
621,13678847,VEGA RM 2000 SRL,89.71428571428572,search
622,1595802,VEOLIA ENERGIE ROMÂNIA  S.A.,100,search
623,23920351,VERBUND WIND POWER ROMANIA SRL,100,search
624,13869430,VERICOM 2001 SRL,100,search
625,33945221,VERIDIO SRL,100,search
626,23012802,VESTAS CEU ROMANIA SRL,100,search
627,16558497,VESTEL ELECTRONICA SRL,100,search
628,45345433,VGP PARK TIMISOARA FOUR S.R.L.,91.8048780487805,search
629,,,,
630,24018730,VIMETCO TRADING SRL,100,search
631,,,,
632,,,,
633,22028495,VISTRA PROFESSIONAL SERVICES SRL,100,search
634,,,,
635,18680678,VITALIS CONSULTING SRL,100,search
636,8971726,VODAFONE ROMANIA SA,100,search
637,,,,
638,15858534,VON Consulting SRL,100,search
639,,,,
640,,,,
641,9518767,WALMARK ROMANIA SRL,100,search
642,21664036,WAREHOUSES DE PAUW ROMANIA S.R.L.,100,search
643,13172415,WAVEMAKER ROMANIA SRL,100,search
644,17438154,WELLKEPT GROUP  S.A.,100,search
645,3507653,WESTFOURTH ARCHITECTURE SRL,100,search
646,,,,
647,,,,
648,10941727,WIENERBERGER S.R.L.,100,search
