id_firma,firma,persoana,candidati_mx
676,ATEX COMPUTER SRL,Radu Dorin Oarga,atexcomputer.ro
677,AUTHENTIC SPIRIT SRL,Mihai Concioiu,authenticspirit.net;authentic-spirit.com
678,AUTOWORLD SRL,Ioan Mezei,autoworld.ro;autoworld.com
683,BANCA TRANSILVANIA,Omer Tetik,bancatransilvania.ro;bancatransilvania.com
685,BLACOS SRL,Costinas Florin,blacos.ro
686,BLADE SOLUTION SRL,Lazar Calin Florin,bladesolution.com
687,BLITZ NETWORK SA,Priscornita Marinel Catalin,blitznetwork.com;blitz-network.ro
689,BOMBARDIER TRANSPORTATION SHARED,Steinbrecher Alexander,bombardier.ro;bombardier.com
693,CARBOCHIM SA,Crisan Viorel Vasile,carbochim.ro;carbochim.com
694,CARDIOMED SRL,Parvu Doru Alin,cardiomed.ro;cardiomed.com
696,CARPAT INSOLV,Liana Tudor,carpatinsolv.ro
697,CARRION EXPEDITION SRL,Caceres Carrion Miguel,carrionexpedition.ro;carrionexpedition.com
703,CENTRUL DE EXCELENTA MEDESTET,Ciceo Mircea,centrul.ro;centrul.com
706,CENTRUL MEDICAL NOVOENGRAMA,Miruna Holdis,centrul.ro;centrul.com
707,CENTRUL MEDICAL TRANSILVANIA SRL,Daria Abu Arif,centrul.ro;centrul.com
708,CENTRUL MEDICO CHIRURGICAL INTERSERVISAN SRL,Pop Teofil,centrul.ro;centrul.com
712,CHIMSPORT SA,Gelu Stan,chimsport.ro
719,CONTACT EAST SRL,Meciu Eugeniu Alexandru,contacteast.ro;contacteast.com
723,CPL CONCORDIA,Luana Safirescu,cplconcordia.ro;cplconcordia.com
724,CRAFTING SOFTWARE INNOVATION,Calin Crisan,crafting.ro;crafting.com
730,CYANE SRL,Anca Diana Negrea,cyane.com
731,CYEB SRL,Laszlo Tamas Furdek,cyeb.ro;cyeb.com
732,D&M CONSTRUCT,Romica Kovacs,construct.ro;construct.com
738,DELONGHI ROMANIA,Carmen Petcu,delonghiromania.ro
739,DELTAMED SRL,Daniela Gavrila,deltamed.ro;deltamed.com
741,DORALEX,Ioan Beniamin Timari,doralex.com
750,EGIS ROMPHARMA SRL,Arina Mihaela Gholmieh,egis-rompharma.ro
751,ELECTROGLOBAL,Radu Ciorba,electroglobal.ro;electroglobal.com
753,ELITE GRUP,Capusan Anica,elite-grup.ro
754,ELMAT SA,Doru Potop,elmat.com
755,EMERSON,Maria Alina Negru,emerson.ro;emerson.com
760,ENSYRO SRL,Coman Petru Eugen,ensyro.com
764,EUROPA BUSINESS CENTER,Ster Radu Voicu,europabusinesscenter.ro
769,EVW HOLDING,Giurgi Timotei,evwholding.ro;evwholding.eu
770,EXPLOITDANEASA SRL,Eric Droguet Pierre Henri,exploitdaneasa.com
773,FANUC,Elena Lavinia Iclozan,fanuc.ro;fanuc.eu
774,FARMEC SA,Monica Vuscan,farmec.ro;farmec.com
779,FENDER CABLES SRL,Stevanin Agostino,fendercables.ro;fendercables.com
781,FILOFI SI TRANDAFIR ARHITECTURA,Irina Filofi,filofi.com
783,FIRST TECHNOLOGY SRL,Vali Lucia Dobrescu,firsttechnology.net;first-technology.ro
785,FORTECH BUSINESS DEVELOPMENT SRL,Calin Vaduva,fortech.ro;fortech.com
786,FORTECH SRL,Ana Silvia Banabic,fortech.ro;fortech.com
788,FUJIKURA,Raluca Timb,fujikura.com;fujikura.net
789,FUJIKURA AUTOMOTIVE,Takita Ryuji,fujikura-automotive.com
790,FUNDATIA TRANSILVANIA LEADERS,Marius Traian Bojita,fundatia.ro;fundatia.com
791,G 5 CONSULTING,Alexandru Man,consulting.ro;consulting.com
793,GAMEMINE SRL,Flaviu Rus,gamemine.com
801,GEOMANT SRL,Kovacs Hunor Istavn,geomant.ro;geomant.com
813,HECO SCHRAUBEN SRL,Hettich Guido,hecoschrauben.ro;hecoschrauben.com
814,HEISTERKAMP TRANSPORT ROMANIA SRL,Haafkes Jan Hendrikus,heisterkamp.com;heisterkamp.eu
826,IMCOP SRL,Popa Calin,imcop.ro;imcop.eu
829,IMPRO SRL,Mariusz Lach,impro.ro;impro.com
